62	size:32	 linkid:6144	 nameSize:18	 class:4	 branch:0	 flag:1	 name:１＝莘奉金高速公路
63	size:32	 linkid:6143	 nameSize:18	 class:4	 branch:0	 flag:1	 name:１＝莘奉金高速公路
64	size:32	 linkid:6142	 nameSize:18	 class:4	 branch:0	 flag:1	 name:１＝莘奉金高速公路
65	size:32	 linkid:6141	 nameSize:18	 class:4	 branch:0	 flag:1	 name:１＝莘奉金高速公路
66	size:32	 linkid:6140	 nameSize:18	 class:4	 branch:0	 flag:1	 name:１＝沪青平高速公路
67	size:32	 linkid:6139	 nameSize:18	 class:4	 branch:0	 flag:1	 name:１＝沪青平高速公路
68	size:32	 linkid:6138	 nameSize:18	 class:4	 branch:0	 flag:1	 name:１＝沪青平高速公路
69	size:32	 linkid:6137	 nameSize:18	 class:4	 branch:0	 flag:1	 name:１＝沪青平高速公路
70	size:32	 linkid:6136	 nameSize:18	 class:4	 branch:0	 flag:1	 name:１＝沪青平高速公路
71	size:32	 linkid:6135	 nameSize:18	 class:4	 branch:0	 flag:1	 name:１＝沪青平高速公路
72	size:32	 linkid:6134	 nameSize:18	 class:4	 branch:0	 flag:1	 name:１＝沪青平高速公路
73	size:32	 linkid:6133	 nameSize:18	 class:4	 branch:0	 flag:1	 name:１＝沪青平高速公路
74	size:30	 linkid:6132	 nameSize:16	 class:4	 branch:0	 flag:1	 name:１＝沪宁高速公路
75	size:30	 linkid:6131	 nameSize:16	 class:4	 branch:0	 flag:1	 name:１＝沪宁高速公路
76	size:30	 linkid:6130	 nameSize:16	 class:4	 branch:0	 flag:1	 name:１＝沪宁高速公路
77	size:30	 linkid:6129	 nameSize:16	 class:4	 branch:0	 flag:1	 name:１＝沪宁高速公路
78	size:30	 linkid:6128	 nameSize:16	 class:4	 branch:0	 flag:1	 name:１＝沪宁高速公路
79	size:30	 linkid:6127	 nameSize:16	 class:4	 branch:0	 flag:1	 name:１＝沪宁高速公路
80	size:30	 linkid:6126	 nameSize:16	 class:4	 branch:0	 flag:1	 name:１＝沪宁高速公路
